job_id,requested_number_of_processors,execution_time,starting_time,allocated_processors
331,8,39,239468,32 33 34 35 36 37 38 39
332,4,23,239817,32 33 34 35
333,1,14,239825,36
334,12,37,239834,37 38 39 40 41 42 43 44 45 46 47 48
335,8,34,239848,32 33 34 35 36 49 50 51
336,16,46,239856,52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67
337,1,440,240412,32
338,4,376,240424,33 34 35 36
339,8,287,240460,37 38 39 40 41 42 43 44
340,8,440,241533,32 33 34 35 36 37 38 39
341,32,2730,242000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
342,4,31,242122,32 33 34 35
343,1,10,242333,32
344,1,26,242453,32
345,13,58050,242559,32 33 34 35 36 37 38 39 40 41 42 43 44
346,8,42,242658,45 46 47 48 49 50 51 52
347,8,66,242973,45 46 47 48 49 50 51 52
348,8,181,243556,45 46 47 48 49 50 51 52
349,1,460,243855,45
350,16,53289,243961,46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61
351,4,39,244652,45 62 63 64
352,32,2722,245101,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
353,4,261,245114,45 62 63 64
354,12,8174,245440,45 62 63 64 65 66 67 68 69 70 71 72
355,15,22,245791,73 74 75 76 77 78 79 80 81 82 83 84 85 86 87
356,2,22,246039,73 74
357,5,107,246108,73 74 75 76 77
358,1,24,246145,78
359,2,28,246486,73 74
360,4,348,246606,73 74 75 76
361,5,35173,246745,77 78 79 80 81
362,1,67,246857,82
363,6,30,246862,83 84 85 86 87 88
364,2,25,246986,73 74
365,2,27,246988,75 76
366,2,21,247026,73 74
367,20,925,247241,73 74 75 76 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97
368,4,32,247823,0 1 2 3
369,2,9,247447,98 99
370,2,26,247529,98 99
371,2,22,247587,98 99
372,2,27,247609,98 99
373,2,22,247636,98 99
374,17,35854,247823,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
375,2,20,247658,98 99
376,4,6,247823,21 22 23 24
377,4,6,247823,25 26 27 28
378,4,20,247823,29 30 31 98
379,4,13,247829,21 22 23 24
380,4,11,247829,25 26 27 28
381,4,28,247840,25 26 27 28
382,1,116,247949,0
383,2,10,248111,0 1
384,2,55,248130,0 1
385,1,5,248232,0
386,2,5,248232,1 2
387,2,36,248233,3 21
388,2,34,248292,0 1
389,1,26,248340,0
390,4,3,248406,0 1 2 3
391,1,16,248654,0
392,2,31,249254,0 1
393,2,21,249315,0 1
394,2,11,249616,0 1
395,2,12,249735,0 1
396,2,22,249736,2 3
397,2,28,249795,0 1
398,2,17,249795,2 3
399,6,20,249892,0 1 2 3 21 22
400,6,44,249903,23 24 25 26 27 28
401,6,17,249963,0 1 2 3 21 22
402,6,14,249966,23 24 25 26 27 28
403,6,24,249967,29 30 31 73 74 75
404,6,16,249997,0 1 2 3 21 22
405,8,6,250022,0 1 2 3 21 22 23 24
406,8,21,250080,0 1 2 3 21 22 23 24
407,8,23,250083,25 26 27 28 29 30 31 73
408,8,9,250084,74 75 76 82 83 84 85 86
409,10,21,250147,0 1 2 3 21 22 23 24 25 26
410,10,15,250148,27 28 29 30 31 73 74 75 76 82
411,10,28,250153,83 84 85 86 87 88 89 90 91 92
412,1,3536,250158,93
413,12,26,250197,0 1 2 3 21 22 23 24 25 26 27 28
414,10,11,250210,29 30 31 73 74 75 76 82 83 84
415,12,18,250222,29 30 31 73 74 75 76 82 83 84 85 86
416,12,19,250227,0 1 2 3 21 22 23 24 25 26 27 28
417,16,18,250257,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73
418,12,9,250281,0 1 2 3 21 22 23 24 25 26 27 28
419,16,6,250331,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73
420,25,7,250337,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87
421,16,15,250344,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73
422,16,22,250354,74 75 76 82 83 84 85 86 87 88 89 90 91 92 94 95
423,25,5,250391,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87
424,25,7,250398,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87
425,36,5,250412,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99
426,25,7,250417,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87
427,36,34,250476,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99
428,36,16,250510,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99
429,36,11,250526,0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 73 74 75 76 82 83 84 85 86 87 88 89 90 91 92 94 95 96 97 98 99
430,1,9,250537,0
431,1,10,250555,0
432,5,113,251615,0 1 2 3 21
433,3,11926,252029,0 1 2
434,2,1766,252161,3 21
435,2,239,252506,22 23
436,1,241,252926,22
437,1,31,254561,3
438,4,33,254613,3 21 22 23
439,2,18,254629,24 25
440,6,25,255840,3 21 22 23 24 25
441,10,38,255841,26 27 28 29 30 31 45 62 63 64
442,8,29,255847,65 66 67 68 69 70 71 72
443,1,26,255884,3
444,2,16,255889,21 22
445,6,23,255889,23 24 25 26 27 28
446,8,20,255890,29 30 31 45 62 63 64 65
447,4,22,255895,66 67 68 69
448,10,28,255954,3 21 22 23 24 25 26 27 28 29
449,1,20,256004,3
450,2,33,256013,21 22
451,6,20,256039,3 23 24 25 26 27
452,8,23,256039,28 29 30 31 45 62 63 64
453,6,20,256045,65 66 67 68 69 70
454,4,44,256066,3 21 22 23
455,8,19,256071,24 25 26 27 28 29 30 31
456,1,14,256079,45
457,4,15,256111,3 21 22 23
458,2,24,256111,24 25
459,15,8920,256270,3 21 22 23 24 25 26 27 28 29 30 31 45 62 63
460,1,21,257684,64
461,80,84,297250,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92
462,12,1285,261530,64 65 66 67 68 69 70 71 72 73 74 75
463,1,23,262556,76
464,1,124,263219,64
465,1,23,264975,0
466,2,15,265088,0 1
467,2,16,265233,0 1
468,4,34,265400,0 1 2 3
469,4,324,266081,0 1 2 3
470,1,117,266132,21
471,2,1771,266273,21 22
472,8,45,266383,23 24 25 26 27 28 29 30
473,12,6931,268839,0 1 2 3 21 22 23 24 25 26 27 28
